[◁◁◁◁◁◁◁◁](./index.html)

|||Player|SS|
|:-|:-|:-|
|327|Blooo_03|97.92%|40846|7176|30|401|786
|328|Mamaefalei|97.67%|48982|7174|4|99|247
|329|elitezin|96.39%|72006|7169|24|225|546
|330|-uhnizuxeN-|98.50%|66392|7169|19|606|1211
|331|123erick|97.88%|29398|7166|25|338|342
|332|Cosseno|98.43%|107378|7155|103|1218|1931
|333|YumeZ|98.76%|35854|7144|13|553|707
|334|Lokjiiu|98.14%|57411|7135|42|483|723
|335|osu angola|98.86%|63688|7126|45|273|505
|336|Hctbi|98.11%|49954|7117|20|362|710
|337|Cubsphere|99.61%|62569|7116|68|841|706
|338|MengaloF|98.33%|50014|7113|44|734|762
|339|mikocon|99.13%|155309|7097|67|1065|2331
|340|DrDelirio|98.65%|199003|7095|45|557|1339
|341|CNP|99.05%|57100|7076|72|951|688
|342|Yorunaga|98.97%|52035|7074|41|840|1425
|343|Toni336|97.54%|53893|7073|105|359|830
|344|FlixDead|99.33%|53441|7065|13|229|1244
|345|Humishi|98.39%|55695|7061|48|526|1299
|346|Proteu|98.74%|26396|7060|17|438|649
|347|Blazi_Bits|98.80%|34396|7055|26|330|1164
|348|todybatata|98.38%|30075|7040|4|429|350
|349|loog|98.70%|65105|7038|39|225|673
|350|Blackzaum|99.58%|43099|7030|93|397|444
|351|Kaguyaaw|99.38%|71509|7029|110|888|2436
|352|Ariisu|97.34%|110893|7025|44|951|1090
|353|Lovvey|98.55%|46783|7024|4|356|675
|354|Soyokaze|98.74%|65288|7022|24|326|760
|355|Flames99Fs|98.89%|40956|7013|37|428|1242
|356|Sevigoth|99.12%|102549|7007|493|3172|788
|357|tabua|98.78%|61381|7003|24|439|748
|358|Heevo|99.17%|35277|7001|38|388|360
|359|Lenzo|98.42%|28795|6996|57|725|918
|360|- Sukii -|98.93%|54467|6989|52|362|658
|361|yuriramires07|98.22%|44241|6983|58|534|780
|362|janinha|98.81%|57905|6981|90|1019|693
|363|OnealGamer|99.09%|54806|6980|65|539|604
|364|Hijindoteki|98.43%|103752|6979|45|840|529
|365|Sign4l|98.71%|50470|6977|84|1245|977
|366|JaunBr|98.38%|40134|6974|31|371|338
|367|tfg50|99.67%|85852|6973|256|1281|1150
|368|Upload|98.35%|82323|6969|28|769|995
|369|Necroluttah|98.58%|61856|6969|60|572|646
|370|Renamon|98.09%|102085|6965|29|549|980
|371|KurayamiShiro|98.74%|54832|6965|69|521|630
|372|F4H|98.40%|34826|6965|7|553|554
|373|GabrielTr|98.73%|74842|6961|0|744|1210
|374|facedog|99.30%|104916|6955|298|1562|1672
|375|Ayuumi|99.16%|63564|6954|20|671|963
|376|Potato246|98.63%|52730|6951|42|1036|1443
|377|Free yourself|99.68%|88201|6943|177|944|623
|378|SpeedCZ_|94.42%|42268|6940|27|250|211
|379|Pedrinz7|99.23%|27114|6938|91|532|1175
|380|azurau|99.28%|53979|6936|151|653|1165
|381|Heinzen|98.91%|34372|6934|6|407|417
|382|NoobAim|99.15%|47269|6933|185|532|490
|383|Wauw_OwO|98.70%|32122|6932|30|573|853
